窗口 1
轨迹 1
通道 1
参数 S11
扫描类型 线性扫描
起始频率 8.00000GHz
终止频率 12.4000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
1.214e+010    -9.865301e-001    9.441711e-003 
1.216e+010    -9.865638e-001    9.417847e-003 
1.218e+010    -9.865853e-001    9.425655e-003 
1.220e+010    -9.866056e-001    9.425108e-003 
1.222e+010    -9.866330e-001    9.425500e-003 
1.225e+010    -9.866835e-001    9.416049e-003 
1.227e+010    -9.867469e-001    9.422983e-003 
1.229e+010    -9.868566e-001    9.443501e-003 
1.231e+010    -9.869592e-001    9.522067e-003 
1.233e+010    -9.870304e-001    9.596306e-003 
1.236e+010    -9.871323e-001    9.661752e-003 
1.238e+010    -9.872613e-001    9.721881e-003 
1.240e+010    -9.873883e-001    9.778378e-003 
======================
窗口 2
轨迹 1
通道 1
参数 S21
扫描类型 线性扫描
起始频率 8.00000GHz
终止频率 12.4000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
8.000e+009    -5.825502e-003    -2.819427e-006 
8.022e+009    -5.910991e-003    1.052458e-004 
8.044e+009    -5.975906e-003    1.916117e-004 
8.066e+009    -6.033737e-003    2.572171e-004 
8.088e+009    -6.094795e-003    2.920341e-004 
8.110e+009    -6.206175e-003    2.950212e-004 
8.132e+009    -6.383421e-003    3.369946e-004 
8.154e+009    -6.560906e-003    4.528106e-004 
8.176e+009    -6.659704e-003    6.104333e-004 
8.198e+009    -6.687522e-003    6.983299e-004 
8.220e+009    -6.759235e-003    7.130456e-004 
8.242e+009    -6.891652e-003    7.330672e-004 
8.264e+009    -7.040615e-003    7.944272e-004 
8.286e+009    -7.177520e-003    8.638601e-004 
8.308e+009    -7.334706e-003    9.423850e-004 
8.330e+009    -7.482381e-003    1.062352e-003 
8.352e+009    -7.578401e-003    1.203236e-003 
8.374e+009    -7.619051e-003    1.284899e-003 
8.396e+009    -7.703439e-003    1.290828e-003 
8.418e+009    -7.857456e-003    1.303583e-003 
8.440e+009    -8.036050e-003    1.373856e-003 
8.462e+009    -8.191976e-003    1.492102e-003 
8.484e+009    -8.316783e-003    1.632968e-003 
8.506e+009    -8.407266e-003    1.777232e-003 
8.528e+009    -8.463398e-003    1.889705e-003 
8.550e+009    -8.532711e-003    1.932584e-003 
8.572e+009    -8.679768e-003    1.958375e-003 
8.594e+009    -8.875519e-003    2.037879e-003 
8.616e+009    -9.058041e-003    2.194112e-003 
8.638e+009    -9.179941e-003    2.385262e-003 
8.660e+009    -9.260375e-003    2.548277e-003 
8.682e+009    -9.346683e-003    2.682278e-003 
8.704e+009    -9.450794e-003    2.801211e-003 
8.726e+009    -9.591731e-003    2.924519e-003 
8.748e+009    -9.767873e-003    3.058165e-003 
8.770e+009    -9.966182e-003    3.222938e-003 
8.792e+009    -1.015301e-002    3.428937e-003 
8.814e+009    -1.029701e-002    3.661541e-003 
8.836e+009    -1.039788e-002    3.885762e-003 
8.858e+009    -1.049744e-002    4.068072e-003 
8.880e+009    -1.064839e-002    4.231427e-003 
8.902e+009    -1.086269e-002    4.412336e-003 
8.924e+009    -1.109298e-002    4.637660e-003 
8.946e+009    -1.130877e-002    4.886544e-003 
8.968e+009    -1.151759e-002    5.131949e-003 
8.990e+009    -1.174334e-002    5.417334e-003 
9.012e+009    -1.190047e-002    5.727800e-003 
9.034e+009    -1.200892e-002    5.954940e-003 
9.056e+009    -1.218697e-002    6.107118e-003 
9.078e+009    -1.249040e-002    6.267786e-003 
9.100e+009    -1.286210e-002    6.589373e-003 
9.122e+009    -1.312225e-002    6.983622e-003 
9.144e+009    -1.331000e-002    7.279037e-003 
9.166e+009    -1.357184e-002    7.499034e-003 
9.188e+009    -1.385493e-002    7.803794e-003 
9.210e+009    -1.401672e-002    8.108983e-003 
9.232e+009    -1.419317e-002    8.263896e-003 
9.254e+009    -1.458283e-002    8.347893e-003 
9.276e+009    -1.519635e-002    8.629125e-003 
9.298e+009    -1.560573e-002    9.195078e-003 
9.320e+009    -1.576026e-002    9.597741e-003 
9.342e+009    -1.600987e-002    9.765180e-003 
9.364e+009    -1.642265e-002    9.971041e-003 
9.386e+009    -1.676686e-002    1.021242e-002 
9.408e+009    -1.712521e-002    1.028240e-002 
9.430e+009    -1.785678e-002    1.031967e-002 
9.452e+009    -1.876056e-002    1.089168e-002 
9.474e+009    -1.908522e-002    1.169368e-002 
9.496e+009    -1.921163e-002    1.188342e-002 
9.518e+009    -1.987445e-002    1.171034e-002 
9.540e+009    -2.105614e-002    1.199735e-002 
9.562e+009    -2.174624e-002    1.271968e-002 
9.584e+009    -2.219735e-002    1.283581e-002 
9.606e+009    -2.343818e-002    1.259334e-002 
9.628e+009    -2.544280e-002    1.323937e-002 
9.650e+009    -2.648554e-002    1.480765e-002 
9.672e+009    -2.671980e-002    1.529804e-002 
9.694e+009    -2.791575e-002    1.477661e-002 
9.716e+009    -3.048043e-002    1.461967e-002 
9.738e+009    -3.320386e-002    1.576114e-002 
9.760e+009    -3.502201e-002    1.686012e-002 
9.782e+009    -3.726555e-002    1.702920e-002 
9.804e+009    -4.069878e-002    1.739683e-002 
9.826e+009    -4.424990e-002    1.865485e-002 
9.848e+009    -4.737788e-002    1.939501e-002 
9.870e+009    -5.153041e-002    1.887845e-002 
9.892e+009    -5.761026e-002    1.826888e-002 
9.914e+009    -6.463060e-002    1.837390e-002 
9.936e+009    -7.161690e-002    1.776487e-002 
9.958e+009    -8.005050e-002    1.490586e-002 
9.980e+009    -9.110552e-002    1.045097e-002 
1.000e+010    -1.033105e-001    5.093062e-003 
1.002e+010    -1.138174e-001    -4.303532e-003 
1.005e+010    -1.227113e-001    -2.121449e-002 
1.007e+010    -1.284526e-001    -4.523977e-002 
1.009e+010    -1.271646e-001    -7.308893e-002 
1.011e+010    -1.152828e-001    -9.863732e-002 
1.013e+010    -9.352444e-002    -1.167824e-001 
1.016e+010    -6.839175e-002    -1.252610e-001 
1.018e+010    -4.546948e-002    -1.244617e-001 
1.020e+010    -2.697031e-002    -1.174587e-001 
1.022e+010    -1.299372e-002    -1.084401e-001 
1.024e+010    -3.583457e-003    -9.954305e-002 
1.027e+010    1.897416e-003    -9.080114e-002 
1.029e+010    5.601514e-003    -8.199376e-002 
1.031e+010    8.936803e-003    -7.439129e-002 
1.033e+010    1.124374e-002    -6.853933e-002 
1.035e+010    1.219242e-002    -6.356073e-002 
1.038e+010    1.239678e-002    -5.856203e-002 
1.040e+010    1.302819e-002    -5.391849e-002 
1.042e+010    1.363222e-002    -5.050466e-002 
1.044e+010    1.338125e-002    -4.791287e-002 
1.046e+010    1.246991e-002    -4.492995e-002 
1.049e+010    1.229221e-002    -4.164452e-002 
1.051e+010    1.269324e-002    -3.926556e-002 
1.053e+010    1.265799e-002    -3.775345e-002 
1.055e+010    1.184041e-002    -3.638860e-002 
1.057e+010    1.095244e-002    -3.429344e-002 
1.060e+010    1.092663e-002    -3.235013e-002 
1.062e+010    1.099186e-002    -3.119718e-002 
1.064e+010    1.056118e-002    -3.034909e-002 
1.066e+010    9.882516e-003    -2.922276e-002 
1.068e+010    9.514982e-003    -2.796395e-002 
1.071e+010    9.320953e-003    -2.701015e-002 
1.073e+010    8.960249e-003    -2.622678e-002 
1.075e+010    8.603239e-003    -2.531485e-002 
1.077e+010    8.526103e-003    -2.451957e-002 
1.079e+010    8.407939e-003    -2.408612e-002 
1.082e+010    7.955606e-003    -2.381282e-002 
1.084e+010    7.266991e-003    -2.317194e-002 
1.086e+010    6.975913e-003    -2.223175e-002 
1.088e+010    7.052943e-003    -2.160238e-002 
1.090e+010    7.029290e-003    -2.133662e-002 
1.093e+010    6.742167e-003    -2.116591e-002 
1.095e+010    6.375237e-003    -2.081003e-002 
1.097e+010    6.144018e-003    -2.043206e-002 
1.099e+010    5.904940e-003    -2.014688e-002 
1.101e+010    5.565699e-003    -1.980167e-002 
1.104e+010    5.356478e-003    -1.931875e-002 
1.106e+010    5.361983e-003    -1.894574e-002 
1.108e+010    5.366539e-003    -1.883472e-002 
1.110e+010    5.152124e-003    -1.882909e-002 
1.112e+010    4.793330e-003    -1.862372e-002 
1.115e+010    4.598404e-003    -1.828603e-002 
1.117e+010    4.479377e-003    -1.804263e-002 
1.119e+010    4.294092e-003    -1.785064e-002 
1.121e+010    4.105920e-003    -1.754620e-002 
1.123e+010    4.079160e-003    -1.725013e-002 
1.126e+010    4.110796e-003    -1.715192e-002 
1.128e+010    3.917837e-003    -1.712343e-002 
1.130e+010    3.565139e-003    -1.699506e-002 
1.132e+010    3.333039e-003    -1.663276e-002 
1.134e+010    3.288959e-003    -1.633007e-002 
1.137e+010    3.261625e-003    -1.615558e-002 
1.139e+010    3.166743e-003    -1.603206e-002 
1.141e+010    3.018143e-003    -1.589622e-002 
1.143e+010    2.866646e-003    -1.576015e-002 
1.145e+010    2.666687e-003    -1.562102e-002 
1.148e+010    2.451778e-003    -1.538225e-002 
1.150e+010    2.347806e-003    -1.508332e-002 
1.152e+010    2.326336e-003    -1.487692e-002 
1.154e+010    2.251970e-003    -1.480375e-002 
1.156e+010    1.999168e-003    -1.474791e-002 
1.159e+010    1.714785e-003    -1.447190e-002 
1.161e+010    1.654665e-003    -1.417095e-002 
1.163e+010    1.640080e-003    -1.405039e-002 
1.165e+010    1.511331e-003    -1.400666e-002 
1.167e+010    1.268294e-003    -1.388776e-002 
1.170e+010    1.057274e-003    -1.364661e-002 
1.172e+010    9.524277e-004    -1.339775e-002 
1.174e+010    8.850209e-004    -1.322978e-002 
1.176e+010    8.058884e-004    -1.311375e-002 
1.178e+010    6.980919e-004    -1.304278e-002 
1.181e+010    5.344665e-004    -1.299601e-002 
1.183e+010    3.112886e-004    -1.290795e-002 
1.185e+010    1.041628e-004    -1.271337e-002 
1.187e+010    9.522754e-006    -1.249039e-002 
1.189e+010    -1.674367e-005    -1.235249e-002 
1.192e+010    -6.942879e-005    -1.231323e-002 
1.194e+010    -1.952599e-004    -1.229141e-002 
1.196e+010    -3.534510e-004    -1.224103e-002 
1.198e+010    -5.136949e-004    -1.217831e-002 
1.200e+010    -6.885110e-004    -1.209558e-002 
1.203e+010    -8.478459e-004    -1.195367e-002 
1.205e+010    -9.171212e-004    -1.178781e-002 
1.207e+010    -9.051553e-004    -1.170681e-002 
1.209e+010    -9.120116e-004    -1.173956e-002 
1.211e+010    -1.035886e-003    -1.181114e-002 
1.214e+010    -1.254213e-003    -1.179916e-002 
1.216e+010    -1.443771e-003    -1.166910e-002 
1.218e+010    -1.538905e-003    -1.151836e-002 
1.220e+010    -1.555551e-003    -1.140071e-002 
1.222e+010    -1.537930e-003    -1.135037e-002 
1.225e+010    -1.542883e-003    -1.139052e-002 
1.227e+010    -1.654187e-003    -1.147070e-002 
1.229e+010    -1.869215e-003    -1.144925e-002 
1.231e+010    -2.017025e-003    -1.129144e-002 
1.233e+010    -2.045092e-003    -1.114314e-002 
1.236e+010    -2.027372e-003    -1.106173e-002 
1.238e+010    -2.030467e-003    -1.102917e-002 
1.240e+010    -2.076249e-003    -1.101117e-002 
======================
窗口 3
轨迹 1
通道 1
参数 S12
扫描类型 线性扫描
起始频率 8.00000GHz
终止频率 12.4000GHz
扫描点数 201
数据格式 原始数据 
======================
频率(Hz)　　实部／虚部(U/U)
8.000e+009    -5.730604e-003    -4.457431e-004 
8.022e+009    -5.856924e-003    -4.506211e-004 
8.044e+009    -6.058982e-003    -4.440996e-004 
8.066e+009    -6.212445e-003    -3.876371e-004 
8.088e+009    -6.235768e-003    -3.425341e-004 
8.110e+009    -6.280743e-003    -3.648246e-004 
8.132e+009    -6.403977e-003    -3.030349e-004 
8.154e+009    -6.533406e-003    -1.232191e-004 
8.176e+009    -6.614078e-003    3.563185e-005 
8.198e+009    -6.719018e-003    1.563047e-005 
8.220e+009    -6.940631e-003    -2.297388e-005 
8.242e+009    -7.172224e-003    8.206155e-006 
8.264e+009    -7.267082e-003    1.011778e-004 
8.286e+009    -7.253670e-003    1.651900e-004 
8.308e+009    -7.293438e-003    2.373880e-004 
8.330e+009    -7.400537e-003    3.775436e-004 
8.352e+009    -7.549350e-003    5.088962e-004 
8.374e+009    -7.752249e-003    5.548362e-004 
8.396e+009    -7.992520e-003    5.815279e-004 
8.418e+009    -8.160606e-003    6.428683e-004 
8.440e+009    -8.174989e-003    7.136688e-004 
8.462e+009    -8.176409e-003    7.574186e-004 
8.484e+009    -8.264966e-003    8.666708e-004 
8.506e+009    -8.432986e-003    1.071459e-003 
8.528e+009    -8.599192e-003    1.241057e-003 
8.550e+009    -8.792594e-003    1.246785e-003 
8.572e+009    -9.048385e-003    1.209756e-003 
8.594e+009    -9.233183e-003    1.263889e-003 
8.616e+009    -9.265138e-003    1.432010e-003 
8.638e+009    -9.212285e-003    1.583618e-003 
8.660e+009    -9.310459e-003    1.690531e-003 
8.682e+009    -9.567372e-003    1.837630e-003 
8.704e+009    -9.892190e-003    1.987832e-003 
8.726e+009    -1.018287e-002    2.056350e-003 
8.748e+009    -1.040382e-002    2.062783e-003 
8.770e+009    -1.052113e-002    2.128081e-003 
8.792e+009    -1.052317e-002    2.277323e-003 
8.814e+009    -1.055769e-002    2.414280e-003 
8.836e+009    -1.076585e-002    2.583003e-003 
8.858e+009    -1.115944e-002    2.806971e-003 
8.880e+009    -1.157808e-002    3.025845e-003 
8.902e+009    -1.187572e-002    3.104651e-003 
8.924e+009    -1.209746e-002    3.076803e-003 
8.946e+009    -1.223926e-002    3.134367e-003 
8.968e+009    -1.231526e-002    3.354140e-003 
8.990e+009    -1.241654e-002    3.620258e-003 
9.012e+009    -1.274920e-002    3.856864e-003 
9.034e+009    -1.329699e-002    4.094890e-003 
9.056e+009    -1.386408e-002    4.351832e-003 
9.078e+009    -1.416626e-002    4.532004e-003 
9.100e+009    -1.428723e-002    4.559705e-003 
9.122e+009    -1.441920e-002    4.653253e-003 
9.144e+009    -1.462182e-002    4.948755e-003 
9.166e+009    -1.494759e-002    5.363918e-003 
9.188e+009    -1.543790e-002    5.762889e-003 
9.210e+009    -1.608453e-002    6.053132e-003 
9.232e+009    -1.663715e-002    6.271673e-003 
9.254e+009    -1.694055e-002    6.436071e-003 
9.276e+009    -1.713568e-002    6.522997e-003 
9.298e+009    -1.735620e-002    6.706093e-003 
9.320e+009    -1.776079e-002    7.104922e-003 
9.342e+009    -1.829209e-002    7.675112e-003 
9.364e+009    -1.896061e-002    8.108029e-003 
9.386e+009    -1.981508e-002    8.325421e-003 
9.408e+009    -2.065105e-002    8.450934e-003 
9.430e+009    -2.113480e-002    8.664538e-003 
9.452e+009    -2.142267e-002    8.846186e-003 
9.474e+009    -2.187734e-002    9.065117e-003 
9.496e+009    -2.275471e-002    9.522739e-003 
9.518e+009    -2.403614e-002    1.024848e-002 
9.540e+009    -2.534547e-002    1.094679e-002 
9.562e+009    -2.666674e-002    1.119053e-002 
9.584e+009    -2.798956e-002    1.114557e-002 
9.606e+009    -2.917430e-002    1.125463e-002 
9.628e+009    -3.015988e-002    1.176499e-002 
9.650e+009    -3.133766e-002    1.253646e-002 
9.672e+009    -3.323980e-002    1.348990e-002 
9.694e+009    -3.583850e-002    1.472412e-002 
9.716e+009    -3.850380e-002    1.567064e-002 
9.738e+009    -4.115735e-002    1.580931e-002 
9.760e+009    -4.390982e-002    1.552969e-002 
9.782e+009    -4.675187e-002    1.605517e-002 
9.804e+009    -4.908738e-002    1.779085e-002 
9.826e+009    -5.168595e-002    1.909281e-002 
9.848e+009    -5.644316e-002    1.957738e-002 
9.870e+009    -6.338511e-002    1.994130e-002 
9.892e+009    -7.075578e-002    2.049311e-002 
9.914e+009    -7.677358e-002    1.958176e-002 
9.936e+009    -8.296562e-002    1.677824e-002 
9.958e+009    -9.098103e-002    1.371276e-002 
9.980e+009    -1.003684e-001    1.092714e-002 
1.000e+010    -1.107502e-001    5.224145e-003 
1.002e+010    -1.227426e-001    -6.881155e-003 
1.005e+010    -1.346885e-001    -2.604630e-002 
1.007e+010    -1.414583e-001    -5.043930e-002 
1.009e+010    -1.366303e-001    -7.665430e-002 
1.011e+010    -1.197663e-001    -1.002590e-001 
1.013e+010    -9.648374e-002    -1.156995e-001 
1.016e+010    -7.267228e-002    -1.219229e-001 
1.018e+010    -5.092858e-002    -1.219958e-001 
1.020e+010    -3.293613e-002    -1.188145e-001 
1.022e+010    -1.916953e-002    -1.121933e-001 
1.024e+010    -8.443954e-003    -1.011215e-001 
1.027e+010    1.006795e-003    -8.907873e-002 
1.029e+010    7.188449e-003    -8.008052e-002 
1.031e+010    9.657542e-003    -7.407081e-002 
1.033e+010    9.572996e-003    -6.941527e-002 
1.035e+010    9.510935e-003    -6.429575e-002 
1.038e+010    1.123809e-002    -5.971369e-002 
1.040e+010    1.293969e-002    -5.587398e-002 
1.042e+010    1.361854e-002    -5.165593e-002 
1.044e+010    1.374738e-002    -4.720724e-002 
1.046e+010    1.370703e-002    -4.394523e-002 
1.049e+010    1.308942e-002    -4.220281e-002 
1.051e+010    1.189730e-002    -4.091716e-002 
1.053e+010    1.131000e-002    -3.891116e-002 
1.055e+010    1.198893e-002    -3.696538e-002 
1.057e+010    1.263233e-002    -3.537384e-002 
1.060e+010    1.242129e-002    -3.370873e-002 
1.062e+010    1.158731e-002    -3.177678e-002 
1.064e+010    1.098341e-002    -3.013417e-002 
1.066e+010    1.058570e-002    -2.940084e-002 
1.068e+010    1.008310e-002    -2.906377e-002 
1.071e+010    9.820168e-003    -2.831209e-002 
1.073e+010    1.014578e-002    -2.727707e-002 
1.075e+010    1.038224e-002    -2.633126e-002 
1.077e+010    9.993146e-003    -2.546028e-002 
1.079e+010    9.122841e-003    -2.444860e-002 
1.082e+010    8.612682e-003    -2.352377e-002 
1.084e+010    8.522236e-003    -2.325448e-002 
1.086e+010    8.417869e-003    -2.332783e-002 
1.088e+010    8.295652e-003    -2.308432e-002 
1.090e+010    8.334753e-003    -2.237422e-002 
1.093e+010    8.336584e-003    -2.162758e-002 
